url,season,episode,title
https://cdn.thechosen.media/videos/cmkaom6vg0000bca7bhwyicjj/master.m3u8,1,1,"I Have Called You by Name"
https://cdn.thechosen.media/videos/cmkar1w0h0000yk9szx9dhti8/master.m3u8,1,2,"Shabbat"
https://cdn.thechosen.media/videos/cmkar2ht00003yk9ssymmmmrf/master.m3u8,1,3,"Jesus Loves the Little Children"
https://cdn.thechosen.media/videos/cmkar3iek0006yk9sq6fajliw/master.m3u8,1,4,"The Rock on Which It Is Built"
https://cdn.thechosen.media/videos/cmkar3znt0009yk9s4pkgbura/master.m3u8,1,5,"The Wedding Gift"
https://cdn.thechosen.media/videos/cmkar4biy000cyk9sks0k5dzm/master.m3u8,1,6,"Indescribable Compassion"
https://cdn.thechosen.media/videos/cmkar4nfx000fyk9sw6ywql7g/master.m3u8,1,7,"Invitations"
https://cdn.thechosen.media/videos/cmkar4ybp000iyk9s35q7aew3/master.m3u8,1,8,"I Am He"
https://cdn.thechosen.media/videos/cmksuldup007dfm0wuerrjvqz/master.m3u8,2,1,"Thunder"
https://cdn.thechosen.media/videos/cmksum8cd007gfm0w8lt5ru30/master.m3u8,2,2,"I Saw You"
https://cdn.thechosen.media/videos/cmksumx1g007jfm0wnwwwk7pt/master.m3u8,2,3,"Matthew 4:24"
https://cdn.thechosen.media/videos/cmksundun007mfm0w414s7b2t/master.m3u8,2,4,"The Perfect Opportunity"
https://cdn.thechosen.media/videos/cmksuo9ge007pfm0wo8pvyg9q/master.m3u8,2,5,"Spirit"
https://cdn.thechosen.media/videos/cmksuot2d007sfm0weaw4mteu/master.m3u8,2,6,"Unlawful"
https://cdn.thechosen.media/videos/cmksupdng007vfm0w8o7bmcj0/master.m3u8,2,7,"Reckoning"
https://cdn.thechosen.media/videos/cmksupvyl007yfm0wja74a0zq/master.m3u8,2,8,"Beyond Mountains"
https://cdn.thechosen.media/videos/cmkt2hl8p0081fm0wldb644gq/master.m3u8,3,1,"Homecoming"
https://cas.global.ssl.fastly.net/manifests-10-4/184683594325/master.m3u8,3,2,"Two by Two"
https://cdn.thechosen.media/videos/cmkt2ixfm0087fm0wc83r7pgg/master.m3u8,3,3,"Physician, Heal Yourself"
https://cdn.thechosen.media/videos/cmkt2k6xr008afm0w4fqd6jm9/master.m3u8,3,4,"Clean, Part 1"
https://cdn.thechosen.media/videos/cmkt2kskn008dfm0wjr9c08u7/master.m3u8,3,5,"Clean, Part 2"
https://cdn.thechosen.media/videos/cmkt2leir008gfm0wzcm4r00q/master.m3u8,3,6,"Intensity in Tent City"
https://cdn.thechosen.media/videos/cmkt2lycc008jfm0w0myogdsc/master.m3u8,3,7,"Ears to Hear"
https://cdn.thechosen.media/videos/cmkt2mh79008mfm0wqn47cybq/master.m3u8,3,8,"Sustenance"
https://cdn.thechosen.media/videos/cmkvrh6ty00mzfm0wxdtra6vd/master.m3u8,4,1,"Promises"
https://cdn.thechosen.media/videos/cmkvu559700n2fm0wntgmtlkb/master.m3u8,4,2,"Confessions"
https://cdn.thechosen.media/videos/cmkvu5pcs00n5fm0wsgcftazo/master.m3u8,4,3,"Moon to Blood"
https://cdn.thechosen.media/videos/cml5dfkkx0000be1qvu5u43r8/master.m3u8,4,4,"Calm Before"
https://cdn.thechosen.media/videos/cmkvu67m400n8fm0wd5ain7qz/master.m3u8,4,5,"Sitting, Serving, Scheming"
https://cdn.thechosen.media/videos/cmkvu6m1700nbfm0weby52okh/master.m3u8,4,6,"Dedication"
https://cdn.thechosen.media/videos/cmkvu756r00nefm0w1k432yui/master.m3u8,4,7,"The Last Sign"
https://cdn.thechosen.media/videos/cmkvu7nn500nhfm0wpgmm6180/master.m3u8,4,8,"Humble"
https://cdn.thechosen.media/videos/cmkolqurb0007fd5zpefds1tv/master.m3u8,5,1,"Entry"
https://cdn.thechosen.media/videos/cmkolt4el000afd5zd6x0aeph/master.m3u8,5,2,"House of Cards"
https://cdn.thechosen.media/videos/cmkoltsl8000dfd5z3luid3mg/master.m3u8,5,3,"Woes"
https://cdn.thechosen.media/videos/cmkolug3o000gfd5zr8yttfm0/master.m3u8,5,4,"The Same Coin"
https://cdn.thechosen.media/videos/cmkolvlia000jfd5zrjmkq4n4/master.m3u8,5,5,"Because of Me"
https://cdn.thechosen.media/videos/cmkoly7d5000mfd5z29jhmapn/master.m3u8,5,6,"Reunions"
https://cdn.thechosen.media/videos/cmkolz0oz000pfd5z745m0chl/master.m3u8,5,7,"The Upper Room: Part I"
https://cdn.thechosen.media/videos/cmkolzr1h000ufd5zrdlz7cto/master.m3u8,5,8,"The Upper Room: Part II"

